sepal_length,sepal_width,petal_length,petal_width,cluster,u1,u2,u3,J,F,F2
5.1,3.5,1.4,0.2,0,0.3333334454032102,0.3333332913331476,0.3333332632636421,-967.0940330021606,680.824400000026,453.88295093748854
4.9,3.0,1.4,0.2,0,0.3333334467051699,0.333333290845215,0.333333262449615,-967.0940330021606,680.824400000026,453.88295093748854
4.7,3.2,1.3,0.2,0,0.3333334539878534,0.3333332881158992,0.3333332578962474,-967.0940330021606,680.824400000026,453.88295093748854
4.6,3.1,1.5,0.2,0,0.3333334480014138,0.3333332903594245,0.3333332616391616,-967.0940330021606,680.824400000026,453.88295093748854
5.0,3.6,1.4,0.2,0,0.33333344725639,0.3333332906386353,0.3333332621049746,-967.0940330021606,680.824400000026,453.88295093748854
5.4,3.9,1.7,0.4,0,0.3333334285226387,0.3333332976594437,0.3333332738179177,-967.0940330021606,680.824400000026,453.88295093748854
4.6,3.4,1.4,0.3,0,0.3333334511099647,0.3333332891944394,0.3333332596955959,-967.0940330021606,680.824400000026,453.88295093748854
5.0,3.4,1.5,0.2,0,0.3333334429930947,0.3333332922363816,0.3333332647705238,-967.0940330021606,680.824400000026,453.88295093748854
4.4,2.9,1.4,0.2,0,0.3333334539101545,0.3333332881450183,0.3333332579448272,-967.0940330021606,680.824400000026,453.88295093748854
4.9,3.1,1.5,0.1,0,0.3333334449705618,0.3333332914952905,0.3333332635341477,-967.0940330021606,680.824400000026,453.88295093748854
5.4,3.7,1.5,0.2,0,0.3333334379847755,0.3333332941133386,0.3333332679018858,-967.0940330021606,680.824400000026,453.88295093748854
4.8,3.4,1.6,0.2,0,0.3333334424361587,0.3333332924451034,0.3333332651187378,-967.0940330021606,680.824400000026,453.88295093748854
4.8,3.0,1.4,0.1,0,0.3333334497130942,0.3333332897179416,0.3333332605689642,-967.0940330021606,680.824400000026,453.88295093748854
4.3,3.0,1.1,0.1,0,0.3333334679905368,0.3333332828681429,0.3333332491413202,-967.0940330021606,680.824400000026,453.88295093748854
5.8,4.0,1.2,0.2,0,0.3333334437054284,0.3333332919694214,0.3333332643251502,-967.0940330021606,680.824400000026,453.88295093748854
5.7,4.4,1.5,0.4,0,0.3333334328636328,0.3333332960325783,0.3333332711037888,-967.0940330021606,680.824400000026,453.88295093748854
5.4,3.9,1.3,0.4,0,0.3333334428279345,0.3333332922982782,0.3333332648737873,-967.0940330021606,680.824400000026,453.88295093748854
5.1,3.5,1.4,0.3,0,0.3333334439049801,0.3333332918946362,0.3333332642003836,-967.0940330021606,680.824400000026,453.88295093748854
5.7,3.8,1.7,0.3,0,0.3333334251483012,0.3333332989240368,0.333333275927662,-967.0940330021606,680.824400000026,453.88295093748854
5.1,3.8,1.5,0.3,0,0.3333334413591132,0.3333332928487454,0.3333332657921415,-967.0940330021606,680.824400000026,453.88295093748854
5.4,3.4,1.7,0.2,0,0.3333334298016706,0.3333332971801035,0.3333332730182257,-967.0940330021606,680.824400000026,453.88295093748854
5.1,3.7,1.5,0.4,0,0.3333334395173973,0.3333332935389612,0.3333332669436413,-967.0940330021606,680.824400000026,453.88295093748854
4.6,3.6,1.0,0.2,0,0.3333334676004625,0.3333332830143301,0.3333332493852073,-967.0940330021606,680.824400000026,453.88295093748854
5.1,3.3,1.7,0.5,0,0.3333334294925766,0.3333332972959422,0.3333332732114812,-967.0940330021606,680.824400000026,453.88295093748854
4.8,3.4,1.9,0.2,0,0.3333334317071869,0.3333332964659775,0.3333332718268357,-967.0940330021606,680.824400000026,453.88295093748854
5.0,3.0,1.6,0.2,0,0.333333438042828,0.3333332940915827,0.3333332678655893,-967.0940330021606,680.824400000026,453.88295093748854
5.0,3.4,1.6,0.4,0,0.3333334364203104,0.3333332946996501,0.3333332688800395,-967.0940330021606,680.824400000026,453.88295093748854
5.2,3.5,1.5,0.2,0,0.3333334403171923,0.3333332932392238,0.3333332664435839,-967.0940330021606,680.824400000026,453.88295093748854
5.2,3.4,1.4,0.2,0,0.3333334435500306,0.3333332920276599,0.3333332644223096,-967.0940330021606,680.824400000026,453.88295093748854
4.7,3.2,1.6,0.2,0,0.3333334432588814,0.3333332921367734,0.3333332646043452,-967.0940330021606,680.824400000026,453.88295093748854
4.8,3.1,1.6,0.2,0,0.3333334414057017,0.3333332928312856,0.3333332657630126,-967.0940330021606,680.824400000026,453.88295093748854
5.4,3.4,1.5,0.4,0,0.3333334339578583,0.3333332956224979,0.3333332704196437,-967.0940330021606,680.824400000026,453.88295093748854
5.2,4.1,1.5,0.1,0,0.3333334438763364,0.3333332919053708,0.3333332642182928,-967.0940330021606,680.824400000026,453.88295093748854
5.5,4.2,1.4,0.2,0,0.3333334417688338,0.333333292695195,0.3333332655359712,-967.0940330021606,680.824400000026,453.88295093748854
4.9,3.1,1.5,0.1,0,0.3333334449705618,0.3333332914952905,0.3333332635341477,-967.0940330021606,680.824400000026,453.88295093748854
5.0,3.2,1.2,0.2,0,0.3333334530350955,0.3333332884729622,0.3333332584919425,-967.0940330021606,680.824400000026,453.88295093748854
5.5,3.5,1.3,0.2,0,0.333333442940758,0.3333332922559955,0.3333332648032463,-967.0940330021606,680.824400000026,453.88295093748854
4.9,3.1,1.5,0.1,0,0.3333334449705618,0.3333332914952905,0.3333332635341477,-967.0940330021606,680.824400000026,453.88295093748854
4.4,3.0,1.3,0.2,0,0.3333334578299644,0.3333332866759995,0.3333332554940362,-967.0940330021606,680.824400000026,453.88295093748854
5.1,3.4,1.5,0.2,0,0.3333334414834006,0.3333332928021664,0.333333265714433,-967.0940330021606,680.824400000026,453.88295093748854
5.0,3.5,1.3,0.3,0,0.3333334489909982,0.33333328998856,0.3333332610204418,-967.0940330021606,680.824400000026,453.88295093748854
4.5,2.3,1.3,0.3,0,0.3333334524176404,0.3333332887043648,0.3333332588779949,-967.0940330021606,680.824400000026,453.88295093748854
4.4,3.2,1.3,0.2,0,0.3333334585169356,0.3333332864185446,0.3333332550645197,-967.0940330021606,680.824400000026,453.88295093748854
5.0,3.5,1.6,0.6,0,0.3333334337673357,0.3333332956938998,0.3333332705387644,-967.0940330021606,680.824400000026,453.88295093748854
5.1,3.8,1.9,0.4,0,0.3333334255555871,0.3333332987713993,0.3333332756730134,-967.0940330021606,680.824400000026,453.88295093748854
4.8,3.0,1.4,0.3,0,0.3333334467166339,0.3333332908409187,0.3333332624424473,-967.0940330021606,680.824400000026,453.88295093748854
5.1,3.8,1.6,0.2,0,0.3333334392810193,0.3333332936275481,0.3333332670914325,-967.0940330021606,680.824400000026,453.88295093748854
4.6,3.2,1.4,0.2,0,0.3333334519212235,0.3333332888904057,0.3333332591883707,-967.0940330021606,680.824400000026,453.88295093748854
5.3,3.7,1.5,0.2,0,0.3333334394944695,0.3333332935475538,0.3333332669579765,-967.0940330021606,680.824400000026,453.88295093748854
5.0,3.3,1.4,0.2,0,0.3333334462259329,0.3333332910248176,0.3333332627492494,-967.0940330021606,680.824400000026,453.88295093748854
7.0,3.2,4.7,1.4,2,0.3333332796911324,0.3333333534367059,0.3333333668721615,-967.0940330021606,680.824400000026,453.88295093748854
6.4,3.2,4.5,1.5,2,0.3333332944037112,0.3333333479229052,0.3333333576733835,-967.0940330021606,680.824400000026,453.88295093748854
6.9,3.1,4.9,1.5,2,0.3333332722064645,0.3333333562417185,0.3333333715518169,-967.0940330021606,680.824400000026,453.88295093748854
5.5,2.3,4.0,1.3,2,0.3333333257776606,0.333333336164959,0.3333333380573803,-967.0940330021606,680.824400000026,453.88295093748854
6.5,2.8,4.6,1.5,2,0.3333332879437519,0.33333335034389,0.333333361712358,-967.0940330021606,680.824400000026,453.88295093748854
5.7,2.8,4.5,1.3,2,0.3333333065940845,0.3333333433543459,0.3333333500515696,-967.0940330021606,680.824400000026,453.88295093748854
6.3,3.3,4.7,1.6,2,0.3333332876060143,0.3333333504704632,0.3333333619235225,-967.0940330021606,680.824400000026,453.88295093748854
4.9,2.4,3.3,1.0,0,0.3333333647082633,0.3333333215750214,0.3333333137167152,-967.0940330021606,680.824400000026,453.88295093748854
6.6,2.9,4.6,1.3,2,0.3333332897740034,0.3333333496579707,0.3333333605680258,-967.0940330021606,680.824400000026,453.88295093748854
5.2,2.7,3.9,1.4,0,0.3333333337587779,0.3333333331738931,0.333333333067329,-967.0940330021606,680.824400000026,453.88295093748854
5.0,2.0,3.5,1.0,0,0.3333333546719799,0.3333333253362978,0.3333333199917224,-967.0940330021606,680.824400000026,453.88295093748854
5.9,3.0,4.2,1.5,2,0.3333333119941783,0.3333333413305644,0.3333333466752571,-967.0940330021606,680.824400000026,453.88295093748854
6.0,2.2,4.0,1.0,2,0.3333333223803958,0.3333333374381445,0.3333333401814597,-967.0940330021606,680.824400000026,453.88295093748854
6.1,2.9,4.7,1.4,2,0.3333332922479189,0.3333333487308269,0.3333333590212541,-967.0940330021606,680.824400000026,453.88295093748854
5.6,2.9,3.6,1.3,0,0.3333333406341742,0.3333333305972155,0.3333333287686102,-967.0940330021606,680.824400000026,453.88295093748854
6.7,3.1,4.4,1.4,2,0.3333332946056974,0.3333333478472072,0.3333333575470952,-967.0940330021606,680.824400000026,453.88295093748854
5.6,3.0,4.5,1.5,2,0.3333333057942897,0.3333333436540833,0.333333350551627,-967.0940330021606,680.824400000026,453.88295093748854
5.8,2.7,4.1,1.0,2,0.333333323540888,0.3333333370032293,0.3333333394558826,-967.0940330021606,680.824400000026,453.88295093748854
6.2,2.2,4.5,1.5,2,0.3333332939882427,0.3333333480786097,0.3333333579331476,-967.0940330021606,680.824400000026,453.88295093748854
5.6,2.5,3.9,1.1,2,0.3333333315277213,0.3333333340100213,0.3333333344622575,-967.0940330021606,680.824400000026,453.88295093748854
5.9,3.2,4.8,1.8,2,0.3333332867285206,0.3333333507993197,0.3333333624721596,-967.0940330021606,680.824400000026,453.88295093748854
6.1,2.8,4.0,1.3,2,0.333333318436926,0.3333333389160299,0.3333333426470439,-967.0940330021606,680.824400000026,453.88295093748854
6.3,2.5,4.9,1.5,2,0.333333279203713,0.3333333536193753,0.3333333671769116,-967.0940330021606,680.824400000026,453.88295093748854
6.1,2.8,4.7,1.2,2,0.333333294900893,0.3333333477365777,0.3333333573625294,-967.0940330021606,680.824400000026,453.88295093748854
6.4,2.9,4.3,1.3,2,0.3333333035223605,0.333333344505529,0.3333333519721104,-967.0940330021606,680.824400000026,453.88295093748854
6.6,3.0,4.4,1.4,2,0.3333332957719055,0.33333334741015,0.3333333568179444,-967.0940330021606,680.824400000026,453.88295093748854
6.8,2.8,4.8,1.4,2,0.3333332777602543,0.333333354160337,0.3333333680794086,-967.0940330021606,680.824400000026,453.88295093748854
6.7,3.0,5.0,1.7,2,0.3333332683095836,0.333333357702144,0.3333333739882723,-967.0940330021606,680.824400000026,453.88295093748854
6.0,2.9,4.5,1.5,2,0.3333332994120292,0.333333346045949,0.3333333545420217,-967.0940330021606,680.824400000026,453.88295093748854
5.7,2.6,3.5,1.0,0,0.3333333461650368,0.3333333285244261,0.333333325310537,-967.0940330021606,680.824400000026,453.88295093748854
5.5,2.4,3.8,1.1,0,0.3333333362702528,0.333333332232673,0.3333333314970741,-967.0940330021606,680.824400000026,453.88295093748854
5.5,2.4,3.7,1.0,0,0.3333333413448062,0.3333333303308936,0.3333333283243001,-967.0940330021606,680.824400000026,453.88295093748854
5.8,2.7,3.9,1.2,2,0.333333327697075,0.3333333354456241,0.3333333368573008,-967.0940330021606,680.824400000026,453.88295093748854
6.0,2.7,5.1,1.6,2,0.3333332757688891,0.3333333549066368,0.333333369324474,-967.0940330021606,680.824400000026,453.88295093748854
5.4,3.0,4.5,1.5,2,0.3333333088136772,0.3333333425225141,0.3333333486638087,-967.0940330021606,680.824400000026,453.88295093748854
6.0,3.4,4.5,1.6,2,0.3333332996312274,0.3333333459638005,0.3333333544049721,-967.0940330021606,680.824400000026,453.88295093748854
6.7,3.1,4.7,1.5,2,0.3333332823784981,0.3333333524295679,0.3333333651919339,-967.0940330021606,680.824400000026,453.88295093748854
6.3,2.3,4.4,1.3,2,0.3333332993948174,0.3333333460523995,0.3333333545527831,-967.0940330021606,680.824400000026,453.88295093748854
5.6,3.0,4.1,1.3,2,0.3333333230960427,0.333333337169943,0.3333333397340142,-967.0940330021606,680.824400000026,453.88295093748854
5.5,2.5,4.0,1.3,2,0.3333333264646319,0.3333333359075043,0.3333333376278639,-967.0940330021606,680.824400000026,453.88295093748854
5.5,2.6,4.4,1.2,2,0.3333333140010539,0.3333333405784522,0.3333333454204938,-967.0940330021606,680.824400000026,453.88295093748854
6.1,3.0,4.6,1.4,2,0.3333332961677277,0.3333333472618088,0.3333333565704636,-967.0940330021606,680.824400000026,453.88295093748854
5.8,2.6,4.0,1.2,2,0.333333323777266,0.3333333369146424,0.3333333393080915,-967.0940330021606,680.824400000026,453.88295093748854
5.0,2.3,3.3,1.0,0,0.3333333628550838,0.3333333222695334,0.3333333148753827,-967.0940330021606,680.824400000026,453.88295093748854
5.6,2.7,4.2,1.3,2,0.3333333184892626,0.3333333388964161,0.3333333426143214,-967.0940330021606,680.824400000026,453.88295093748854
