sepal_length,sepal_width,petal_length,petal_width,cluster,u0,u1,u2
5.1,3.5,1.4,0.2,1.0,0.2191557151354412,0.5540367627820297,0.2268075220825278
4.9,3.0,1.4,0.2,1.0,0.2469733775577023,0.4896995746742597,0.2633270477680378
4.7,3.2,1.3,0.2,1.0,0.2461388635327017,0.4921582155523392,0.2617029209149601
4.6,3.1,1.5,0.2,1.0,0.2530929806005429,0.4762648380096868,0.2706421813897712
5.0,3.6,1.4,0.2,1.0,0.2284592676309355,0.53220938723514,0.2393313451339232
5.4,3.9,1.7,0.4,1.0,0.266685056456118,0.4476358982033272,0.285679045340554
4.6,3.4,1.4,0.3,1.0,0.2473993007208884,0.4894227148316379,0.2631779844474743
5.0,3.4,1.5,0.2,1.0,0.1841095298924401,0.6794826989289753,0.1364077711785876
4.4,2.9,1.4,0.2,1.0,0.2670263760549939,0.4466364550543342,0.2863371688906805
4.9,3.1,1.5,0.1,1.0,0.2403862570047566,0.504199601279252,0.2554141417159903
5.4,3.7,1.5,0.2,1.0,0.2542018701645935,0.4749782783895168,0.2708198514458887
4.8,3.4,1.6,0.2,1.0,0.2292498867849694,0.5296983885042024,0.2410517247108268
4.8,3.0,1.4,0.1,1.0,0.2508050545548829,0.4814253822878548,0.2677695631572634
4.3,3.0,1.1,0.1,1.0,0.2701654828857487,0.4413768394288156,0.2884576776854539
5.8,4.0,1.2,0.2,1.0,0.2779683409322319,0.4264736672144973,0.295557991853284
5.7,4.4,1.5,0.4,1.0,0.2851831837698652,0.4114758939435097,0.3033409222866384
5.4,3.9,1.3,0.4,1.0,0.2645101630199268,0.4538383633607868,0.2816514736192897
5.1,3.5,1.4,0.3,1.0,0.2200218043724987,0.5520268536259555,0.2279513420015446
5.7,3.8,1.7,0.3,1.0,0.2731828127471432,0.4337203763940122,0.293096810858845
5.1,3.8,1.5,0.3,1.0,0.2484080187545091,0.4877106217231387,0.2638813595223512
5.4,3.4,1.7,0.2,1.0,0.2509254205574472,0.4806886874753677,0.2683858919671824
5.1,3.7,1.5,0.4,1.0,0.2431064618842653,0.4991572697601677,0.2577362683555654
4.6,3.6,1.0,0.2,1.0,0.2607936217570975,0.462089510526394,0.2771168677165196
5.1,3.3,1.7,0.5,1.0,0.2433884008063716,0.4969623181793733,0.2596492810142525
4.8,3.4,1.9,0.2,1.0,0.2519878594723323,0.477603061451101,0.2704090790765642
5.0,3.0,1.6,0.2,1.0,0.2468712548104342,0.4892106238661393,0.2639181213234247
5.0,3.4,1.6,0.4,1.0,0.2216200043169692,0.5479868621971576,0.230393133485872
5.2,3.5,1.5,0.2,1.0,0.2266158021639423,0.5363965584666179,0.2369876393694383
5.2,3.4,1.4,0.2,1.0,0.2254729984769556,0.5389966224862633,0.2355303790367797
4.7,3.2,1.6,0.2,1.0,0.244401499377992,0.4951044544543189,0.2604940461676881
4.8,3.1,1.6,0.2,1.0,0.2440191855532663,0.4957504869303596,0.2602303275163727
5.4,3.4,1.5,0.4,1.0,0.248793810177748,0.486003730328188,0.2652024594940618
5.2,4.1,1.5,0.1,1.0,0.2670605571630686,0.4484188779115069,0.2845205649254295
5.5,4.2,1.4,0.2,1.0,0.2753664290290188,0.4315574939209931,0.2930760770499976
4.9,3.1,1.5,0.1,1.0,0.2403862570047566,0.504199601279252,0.2554141417159903
5.0,3.2,1.2,0.2,1.0,0.2409436472802477,0.5038406609239654,0.2552156917957873
5.5,3.5,1.3,0.2,1.0,0.256078691508736,0.4711884207387959,0.2727328877524687
4.9,3.1,1.5,0.1,1.0,0.2403862570047566,0.504199601279252,0.2554141417159903
4.4,3.0,1.3,0.2,1.0,0.2649960695539144,0.4514434400194034,0.2835604904266913
5.1,3.4,1.5,0.2,1.0,0.2002151962547312,0.6044883070151695,0.1952964967301
5.0,3.5,1.3,0.3,1.0,0.2280524969204946,0.5331138265110963,0.238833676568408
4.5,2.3,1.3,0.3,1.0,0.2810902520946433,0.4168293775844118,0.302080370320965
4.4,3.2,1.3,0.2,1.0,0.2612471616158934,0.4597018715796451,0.2790509668044688
5.0,3.5,1.6,0.6,1.0,0.2464658264884945,0.490851076331037,0.2626830971804662
5.1,3.8,1.9,0.4,1.0,0.2625052844153597,0.4553722491619039,0.2821224664227337
4.8,3.0,1.4,0.3,1.0,0.2499568123542085,0.4831154560759222,0.2669277315698695
5.1,3.8,1.6,0.2,1.0,0.2494450441567459,0.4852006988561055,0.2653542569871474
4.6,3.2,1.4,0.2,1.0,0.2499913518449032,0.483494620721939,0.2665140274331592
5.3,3.7,1.5,0.2,1.0,0.248668959696251,0.4870268943659768,0.2643041459377709
5.0,3.3,1.4,0.2,1.0,0.2118814392481914,0.5716222744832237,0.2164962862685842
7.0,3.2,4.7,1.4,0.0,0.3823733351292864,0.256521420868768,0.3611052440019428
6.4,3.2,4.5,1.5,2.0,0.3543170270774252,0.2450591008142065,0.4006238721083666
6.9,3.1,4.9,1.5,0.0,0.4026673111601294,0.2455057840033406,0.3518269048365283
5.5,2.3,4.0,1.3,2.0,0.3198863045613348,0.2832682697698911,0.3968454256687671
6.5,2.8,4.6,1.5,2.0,0.3618720046995162,0.2398236656101459,0.3983043296903364
5.7,2.8,4.5,1.3,2.0,0.3106951172918061,0.2412765558974831,0.4480283268107112
6.3,3.3,4.7,1.6,2.0,0.3729598234150702,0.2418514447184543,0.3851887318664738
4.9,2.4,3.3,1.0,2.0,0.310030514938855,0.333823520306194,0.3561459647549452
6.6,2.9,4.6,1.3,2.0,0.3604884919717688,0.2471929820073624,0.3923185260208666
5.2,2.7,3.9,1.4,2.0,0.3182346012381614,0.2925940774514821,0.389171321310349
5.0,2.0,3.5,1.0,2.0,0.3155717562076129,0.3226901736549016,0.3617380701374807
5.9,3.0,4.2,1.5,2.0,0.3072658668798756,0.2431873486586754,0.4495467844614504
6.0,2.2,4.0,1.0,2.0,0.3230657640761806,0.2823824525010604,0.3945517834227522
6.1,2.9,4.7,1.4,2.0,0.3341088134236755,0.2281867759017711,0.4377044106745581
5.6,2.9,3.6,1.3,2.0,0.3137668269600791,0.2985255863491832,0.3877075866907301
6.7,3.1,4.4,1.4,2.0,0.3578127399328048,0.2555524214052429,0.386634838661949
5.6,3.0,4.5,1.5,2.0,0.322209334285052,0.2480676249325444,0.4297230407824022
5.8,2.7,4.1,1.0,2.0,0.3132448939596935,0.2708945672737705,0.4158605387665319
6.2,2.2,4.5,1.5,2.0,0.3439200122779831,0.2547426759343821,0.401337311787632
5.6,2.5,3.9,1.1,2.0,0.3151559078638755,0.2862786074949321,0.3985654846411856
5.9,3.2,4.8,1.8,2.0,0.3688248575374988,0.2423973078731258,0.3887778345893737
6.1,2.8,4.0,1.3,2.0,0.31316880034037,0.2602370594600103,0.4265941401996177
6.3,2.5,4.9,1.5,2.0,0.3745577293023676,0.239575931612694,0.385866339084937
6.1,2.8,4.7,1.2,2.0,0.3321463323848216,0.2367525157233904,0.431101151891788
6.4,2.9,4.3,1.3,2.0,0.3302530194344443,0.2483994224601167,0.4213475581054374
6.6,3.0,4.4,1.4,2.0,0.3519570507413007,0.2511235459965234,0.3969194032621734
6.8,2.8,4.8,1.4,0.0,0.3860289124534815,0.2465861519134881,0.3673849356330284
6.7,3.0,5.0,1.7,0.0,0.4361525667069572,0.2295438053630055,0.3343036279300366
6.0,2.9,4.5,1.5,2.0,0.2948814231758342,0.2135100500264606,0.491608526797707
5.7,2.6,3.5,1.0,2.0,0.3127756454242588,0.3082227681736752,0.3790015864020578
5.5,2.4,3.8,1.1,2.0,0.3159981969631899,0.2951977798115413,0.388804023225261
5.5,2.4,3.7,1.0,2.0,0.3149774820876314,0.3024585030603802,0.3825640148519804
5.8,2.7,3.9,1.2,2.0,0.3123103525656114,0.2757107937190814,0.4119788537153028
6.0,2.7,5.1,1.6,0.0,0.3853766533787047,0.2371372839878744,0.3774860626334198
5.4,3.0,4.5,1.5,2.0,0.3280701556845676,0.2608268072850229,0.4111030370304058
6.0,3.4,4.5,1.6,2.0,0.345813596654174,0.2512457358206384,0.4029406675251852
6.7,3.1,4.7,1.5,0.0,0.3842620449705521,0.2449715491200469,0.3707664059093991
6.3,2.3,4.4,1.3,2.0,0.3370452594300271,0.2564681240998271,0.4064866164701425
5.6,3.0,4.1,1.3,2.0,0.3130786911156374,0.2680227485814696,0.4188985603028897
5.5,2.5,4.0,1.3,2.0,0.3166457455493732,0.2796433655421957,0.403710888908425
5.5,2.6,4.4,1.2,2.0,0.3195000414020704,0.2637224755096957,0.4167774830882301
6.1,3.0,4.6,1.4,2.0,0.3243036032429043,0.227722210438005,0.4479741863190986
5.8,2.6,4.0,1.2,2.0,0.312502084906561,0.2702312491865676,0.4172666659068676
5.0,2.3,3.3,1.0,2.0,0.3107326327781832,0.3315620769736602,0.3577052902481505
