,sepal_length,sepal_width,petal_length,petal_width,cluster,u0,u1,u2,u3,u4
0,5.1,3.5,1.4,0.2,0,0.6719878200239796,0.06300996831051171,0.07226760384022306,0.08396224586597782,0.10877236195926739
1,4.9,3.0,1.4,0.2,1,0.5996413417675104,0.07487721974103734,0.08815556641212358,0.10247799590411676,0.13484787617516458
2,4.7,3.2,1.3,0.2,1,0.6224049358257981,0.07179100983343716,0.08376270305587447,0.09671392128391212,0.12532743000093008
3,4.6,3.1,1.5,0.2,1,0.5761894514228311,0.07906920251213721,0.09355346495983097,0.10858768925727713,0.14260019184787373
4,5.0,3.6,1.4,0.2,0,0.6625814729769295,0.06495179550098495,0.07466411472967499,0.08656450461699294,0.11123811217537642
5,5.4,3.9,1.7,0.4,0,0.47913477279668415,0.09804374450399903,0.11648232256582827,0.1366084680190845,0.16973069211435726
6,4.6,3.4,1.4,0.3,1,0.6130467301448242,0.07349541190453639,0.08590022360875375,0.09929230613722571,0.12826532820461176
7,5.0,3.4,1.5,0.2,0,0.6887361683150758,0.05943525200962797,0.06792524840003966,0.07918986748486895,0.10471346379034555
8,4.4,2.9,1.4,0.2,1,0.5071139648098507,0.09213020311402376,0.10975016057597291,0.12650417231364883,0.16450149918645202
9,4.9,3.1,1.5,0.1,1,0.6197649316146204,0.07115401961294929,0.08344514626379892,0.0972425427029781,0.12839335980560898
10,5.4,3.7,1.5,0.2,0,0.5525472841156461,0.08504070286968422,0.09992248245169266,0.11650940279354653,0.14598012776938102
11,4.8,3.4,1.6,0.2,1,0.6474430788898327,0.06641746048288123,0.07721155145242596,0.09009551610617128,0.11883239306864801
12,4.8,3.0,1.4,0.1,1,0.5886753669735715,0.07709142934846391,0.09087893004965018,0.10539963053313632,0.13795464309512848
13,4.3,3.0,1.1,0.1,1,0.5044826207986964,0.09483160408498921,0.11184002090975557,0.1275615012161876,0.16128425299031993
14,5.8,4.0,1.2,0.2,0,0.44332506339946065,0.10939033355781115,0.12754935745095586,0.14636780622373066,0.17336743936799628
15,5.7,4.4,1.5,0.4,0,0.39487399120397676,0.11926943325346372,0.1392636300939944,0.16009695982660438,0.18649598562192365
16,5.4,3.9,1.3,0.4,0,0.5157774311759454,0.09357345039700866,0.10954680558483383,0.12653584332312026,0.15456646951904007
17,5.1,3.5,1.4,0.3,0,0.6672173589978974,0.06376944979980517,0.07327300913888456,0.08519720951698125,0.11054297254639109
18,5.7,3.8,1.7,0.3,0,0.44039817292879263,0.10527393323597786,0.12541060707438184,0.1473537099627409,0.1815635767980628
19,5.1,3.8,1.5,0.3,0,0.5861543786266669,0.07899772637959501,0.09232795285682169,0.10732936718330716,0.1351905749535611
20,5.4,3.4,1.7,0.2,0,0.5420952714510441,0.0844712785871942,0.10053191085099321,0.11870238142785089,0.1541991576828719
21,5.1,3.7,1.5,0.4,0,0.6012245098874214,0.07576070642287662,0.08849826584553115,0.10310515915106823,0.13141135869305712
22,4.6,3.6,1.0,0.2,1,0.567968529592201,0.08418156163997713,0.09792742039536848,0.11165256397392297,0.1382699243984751
23,5.1,3.3,1.7,0.5,0,0.5683894916223503,0.07879977887918643,0.09383352951273959,0.11088677666992999,0.14809042331575087
24,4.8,3.4,1.9,0.2,1,0.5434331447952971,0.08315308470317702,0.09955766766487943,0.11752029388536064,0.1563358089512402
25,5.0,3.0,1.6,0.2,1,0.577072186534373,0.07766525196452194,0.0922818336784481,0.10826243220765418,0.14471829561495725
26,5.0,3.4,1.6,0.4,0,0.6403788633671426,0.0673027472777727,0.0784185310831371,0.09195672204023955,0.12194313623166786
27,5.2,3.5,1.5,0.2,0,0.6409603652035512,0.0681951208181917,0.07905913084758286,0.09229663994326444,0.11948874318736874
28,5.2,3.4,1.4,0.2,0,0.6535547377969175,0.06608949172222182,0.07632090241229025,0.08884158506695022,0.11519328300157919
29,4.7,3.2,1.6,0.2,1,0.6035996820719146,0.0737571132909025,0.08694249285171053,0.10141706766834362,0.13428364411708343
30,4.8,3.1,1.6,0.2,1,0.5987327803795094,0.07425766758810813,0.08774531059464662,0.10258292292601727,0.1366813185116739
31,5.4,3.4,1.5,0.4,0,0.5632277944588668,0.08161954944292679,0.09641353649017083,0.11305399522940453,0.1456851243785846
32,5.2,4.1,1.5,0.1,0,0.5030950887990118,0.09615196744850797,0.11264416562011034,0.13010555529736054,0.15800322283495793
33,5.5,4.2,1.4,0.2,0,0.4563831348948655,0.10628570183837394,0.12421332576138971,0.14297710271765743,0.17014073478766617
34,4.9,3.1,1.5,0.1,1,0.6197649316146204,0.07115401961294929,0.08344514626379892,0.0972425427029781,0.12839335980560898
35,5.0,3.2,1.2,0.2,1,0.6395974925362905,0.0689690348807079,0.07996195568821503,0.092355825294709,0.11911569160003195
36,5.5,3.5,1.3,0.2,0,0.5530694908818262,0.08537090593341412,0.10010387732910973,0.11616165210071792,0.1452940737548807
37,4.9,3.1,1.5,0.1,1,0.6197649316146204,0.07115401961294929,0.08344514626379892,0.0972425427029781,0.12839335980560898
38,4.4,3.0,1.3,0.2,1,0.5258060707312439,0.08945623312618972,0.1059916459732033,0.12182516043767087,0.15692088973163942
39,5.1,3.4,1.5,0.2,0,0.6744685252620816,0.06195275586708498,0.07117069630160407,0.08307838902861042,0.10932963354057844
40,5.0,3.5,1.3,0.3,0,0.6704511434284378,0.0635473055008595,0.07288275161299727,0.0843489560104358,0.10876984344722873
41,4.5,2.3,1.3,0.3,1,0.41516852281086664,0.1087818027724158,0.13060503805505777,0.14983457516735443,0.19561006119426214
42,4.4,3.2,1.3,0.2,1,0.5509124034575432,0.08524554945946629,0.10051006452147054,0.11548540711498473,0.1478465754464815
43,5.0,3.5,1.6,0.6,0,0.5749835086310782,0.07899871721266183,0.09342171687329551,0.10954024106620218,0.1430558162167176
44,5.1,3.8,1.9,0.4,0,0.48946626386077924,0.09404844157755092,0.11270872645316893,0.13319863964632692,0.17057792846212835
45,4.8,3.0,1.4,0.3,1,0.5880347987944915,0.07687695686006836,0.09076148890503627,0.10543444486761935,0.13889231057273613
46,5.1,3.8,1.6,0.2,0,0.5761462387436209,0.08049264914301123,0.0943917347269397,0.11003468865667868,0.13893468872970133
47,4.6,3.2,1.4,0.2,1,0.6003517509209434,0.07543610104946268,0.08857318646418713,0.10243691497277634,0.13320204659258084
48,5.3,3.7,1.5,0.2,0,0.5782948236587725,0.08024825396176763,0.09396503114250723,0.10950200951534174,0.13798988172156293
49,5.0,3.3,1.4,0.2,1,0.6860747483395054,0.060044838628431775,0.06871612098493746,0.0798778177596187,0.10528647428746565
50,7.0,3.2,4.7,1.4,2,0.013186493424627193,0.24099465605989517,0.30316786958319997,0.27815323145111875,0.1644977494811516
51,6.4,3.2,4.5,1.5,2,1.9191621003167054e-11,0.15037734574184136,0.28486457440376456,0.40420834529903044,0.16054973453617435
52,6.9,3.1,4.9,1.5,2,5.2652492100550445e-11,0.2654370915964515,0.3352227179025831,0.2552762898490555,0.14406390059926039
53,5.5,2.3,4.0,1.3,4,2.4047737323774573e-11,0.09407864027884054,0.13985575171334955,0.20199920296604398,0.5640664050177189
54,6.5,2.8,4.6,1.5,2,1.7239517658807652e-11,0.1510880585922862,0.3338742723198498,0.3639940010536659,0.1510436680169614
55,5.7,2.8,4.5,1.3,4,1.821971520915991e-11,0.11098583842111429,0.20213900327588302,0.4085628201740243,0.2783123381107607
56,6.3,3.3,4.7,1.6,2,1.921776985415531e-11,0.17085410360652276,0.34449405462100036,0.3397481566623109,0.1449036850909508
57,4.9,2.4,3.3,1.0,4,0.11335502615415621,0.11665776490467382,0.1594473457609529,0.20463279034042026,0.40590707283977756
58,6.6,2.9,4.6,1.3,2,2.40754071436315e-11,0.16488346104350193,0.3046311923818275,0.36195679430666333,0.1685285522439341
59,5.2,2.7,3.9,1.4,4,4.420241856486352e-11,0.10218615389001665,0.15088310602421615,0.21581928465947903,0.5311114553820852
60,5.0,2.0,3.5,1.0,4,0.09937101310076477,0.12066404263031205,0.16623525609554352,0.20945329147423938,0.40427639669912185
61,5.9,3.0,4.2,1.5,4,1.6798038225347752e-11,0.10555037829249314,0.18195284952082647,0.44597486786643326,0.2665219043034512
62,6.0,2.2,4.0,1.0,4,1.1035774724273965e-10,0.11889079210222175,0.18219609377862828,0.26415749127071264,0.4347556227380802
